time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
150.995995,1.3,0,26.391,26.39,50,34.276,38,84,24,-2.4,1759.7,0,0,0,0,0,0,25.391,-79.6797,M4-011,OSTRICH 2014,2CD-B.PRO
150.996088,1.6,0,27.964,27.963,18.359,9.947,38,85,24.3,-2.99,1781.4,0,0,0,0,0,0,25.391,-79.6797,M4-011,OSTRICH 2014,2CD-B.PRO
150.996134,2.1,0,27.963,27.963,35.949,23.123,40,85,24.3,-3.96,1781.4,0,0,0,0,0,0,25.391,-79.6796,M4-011,OSTRICH 2014,2CD-B.PRO
150.996192,2.6,0,27.964,27.964,36.197,23.309,43,86,24.6,-4.94,1802,0,0,0,0,0,0,25.391,-79.6796,M4-011,OSTRICH 2014,2CD-B.PRO
150.996238,2.8,0,27.962,27.961,35.54,22.815,45,86,24.6,-5.33,1802,0,0,0,0,0,0,25.391,-79.6796,M4-011,OSTRICH 2014,2CD-B.PRO
150.996285,3.2,0,27.964,27.963,35.703,22.938,46,87,24.9,-5.91,1821.9,0,0,0,0,0,0,25.3911,-79.6796,M4-011,OSTRICH 2014,2CD-B.PRO
150.996331,3.9,0,27.967,27.966,36.245,23.344,46,88,25.2,-7.28,1842.1,0,0,0,0,0,0,25.3911,-79.6796,M4-011,OSTRICH 2014,2CD-B.PRO
150.996377,4.5,0,27.967,27.966,36.25,23.348,47,88,1.1,-6.05,1842.1,0,0,0,0,0,0,25.3911,-79.6795,M4-011,OSTRICH 2014,2CD-B.PRO
150.996424,5.2,0,27.965,27.964,36.252,23.351,48,89,1.4,-7.41,1861.8,0,0,0,0,0,0,25.3911,-79.6795,M4-011,OSTRICH 2014,2CD-B.PRO
150.99647,5.5,0,27.967,27.966,36.258,23.354,48,90,1.4,-7.41,1881.4,0,0,0,0,0,0,25.3911,-79.6795,M4-011,OSTRICH 2014,2CD-B.PRO
150.996516,6.1,0,27.966,27.965,36.257,23.354,48,90,1.4,-7.41,1881.4,0,0,0,0,0,0,25.3911,-79.6795,M4-011,OSTRICH 2014,2CD-B.PRO
150.996562,6.8,0,27.961,27.96,36.256,23.355,48,91,1.4,-7.8,1901.1,0,0,0,0,0,0,25.3912,-79.6795,M4-011,OSTRICH 2014,2CD-B.PRO
150.996609,7.3,0,27.955,27.953,36.262,23.361,46,92,1.7,-8.39,1921.7,0,0,0,0,0,0,25.3912,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996655,8,0,27.952,27.95,36.265,23.365,48,92,1.4,-9.17,1921.7,0,0,0,0,0,0,25.3912,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996701,8.9,0,27.935,27.933,36.264,23.37,48,93,1.4,-9.37,1941.8,0,0,0,0,0,0,25.3912,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996748,9.3,0,27.921,27.919,36.268,23.377,46,94,1.7,-8.98,1962.5,0,0,0,0,0,0,25.3912,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996794,10.1,0,27.911,27.908,36.267,23.38,48,94,1.4,-9.17,1962.5,0,0,0,0,0,0,25.3913,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.99684,10.8,0,27.901,27.898,36.263,23.381,46,95,1.4,-9.76,1983.4,0,0,0,0,0,0,25.3913,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996887,11.7,0,27.862,27.859,36.257,23.389,47,95,1.4,-10.54,1983.4,0,0,0,0,0,0,25.3913,-79.6794,M4-011,OSTRICH 2014,2CD-B.PRO
150.996933,12.2,0,27.824,27.821,36.267,23.409,48,96,1.4,-10.15,2003.8,0,0,0,0,0,0,25.3913,-79.6793,M4-011,OSTRICH 2014,2CD-B.PRO
150.996979,12.9,0,27.807,27.804,36.272,23.418,46,97,1.4,-10.54,2024.9,0,0,0,0,0,0,25.3913,-79.6793,M4-011,OSTRICH 2014,2CD-B.PRO
150.997025,13.5,0,27.8,27.797,36.27,23.418,46,97,1.4,-10.15,2024.9,0,0,0,0,0,0,25.3914,-79.6793,M4-011,OSTRICH 2014,2CD-B.PRO
150.997072,14.1,0,27.795,27.792,36.271,23.421,46,98,1.4,-9.76,2045.8,0,0,0,0,0,0,25.3914,-79.6793,M4-011,OSTRICH 2014,2CD-B.PRO
150.997118,14.7,0,27.789,27.785,36.271,23.424,45,98,1.1,-10.15,2045.8,0,0,0,0,0,0,25.3914,-79.6793,M4-011,OSTRICH 2014,2CD-B.PRO
150.997164,15.2,0,27.783,27.78,36.273,23.427,46,99,1.4,-9.57,2066.6,0,0,0,0,0,0,25.3914,-79.6792,M4-011,OSTRICH 2014,2CD-B.PRO
150.997211,16,0,27.782,27.779,36.273,23.427,46,99,1.1,-9.76,2066.6,0,0,0,0,0,0,25.3914,-79.6792,M4-011,OSTRICH 2014,2CD-B.PRO
