time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
153.646725,49.6,0,24.821,24.81,36.219,24.323,50,29,2,1.03,477.5,2,0,0,0,0,0,24.6452,-80.6525,M4-028,OSTRICH 2014,4WD-A.PRO
153.646771,49.6,0,24.822,24.811,36.219,24.322,50,29,1.7,1.03,477.5,2,0,0,0,0,0,24.6452,-80.6524,M4-028,OSTRICH 2014,4WD-A.PRO
153.646817,49.4,0,24.823,24.812,36.218,24.321,45,30,2,1.81,495.7,2,0,0,0,0,0,24.6452,-80.6524,M4-028,OSTRICH 2014,4WD-A.PRO
153.646863,49.8,0,24.82,24.809,36.219,24.323,49,31,2,1.03,512.8,2,0,0,0,0,0,24.6452,-80.6524,M4-028,OSTRICH 2014,4WD-A.PRO
153.64691,50.1,0,24.819,24.808,36.218,24.323,57,32,2,-0.14,527.5,2,0,0,0,0,0,24.6451,-80.6523,M4-028,OSTRICH 2014,4WD-A.PRO
153.646956,50.2,0,24.815,24.804,36.218,24.324,51,33,2,0.05,544.2,2,0,0,0,0,0,24.6451,-80.6523,M4-028,OSTRICH 2014,4WD-A.PRO
153.647002,49.4,0,24.813,24.802,36.218,24.324,52,1,2,1.62,0,3,0,0,0,0,0,24.6451,-80.6523,M4-028,OSTRICH 2014,4WD-A.PRO
153.647049,49.7,0,24.813,24.803,36.218,24.324,51,2,2,0.05,16.7,3,0,0,0,0,0,24.6451,-80.6522,M4-028,OSTRICH 2014,4WD-A.PRO
153.647095,49.6,0,24.814,24.803,36.218,24.324,49,3,2,0.06,34,3,0,0,0,0,0,24.6451,-80.6522,M4-028,OSTRICH 2014,4WD-A.PRO
153.647141,49.5,0,24.815,24.804,36.218,24.324,48,3,2,0.25,34,3,0,0,0,0,0,24.6451,-80.6521,M4-028,OSTRICH 2014,4WD-A.PRO
153.647188,49.3,0,24.815,24.805,36.218,24.324,50,4,2,0.25,51,3,0,0,0,0,0,24.6451,-80.6521,M4-028,OSTRICH 2014,4WD-A.PRO
153.647234,49.1,0,24.812,24.802,36.217,24.324,54,5,2,1.23,66.3,3,0,0,0,0,0,24.645,-80.6521,M4-028,OSTRICH 2014,4WD-A.PRO
153.64728,49.8,0,24.813,24.802,36.218,24.324,46,6,2,0.64,84.5,3,0,0,0,0,0,24.645,-80.652,M4-028,OSTRICH 2014,4WD-A.PRO
153.647326,49.1,0,24.815,24.805,36.218,24.323,47,7,2,2.01,102,3,0,0,0,0,0,24.645,-80.652,M4-028,OSTRICH 2014,4WD-A.PRO
153.647373,49,0,24.818,24.807,36.219,24.323,50,8,2,0.64,118.8,3,0,0,0,0,0,24.645,-80.652,M4-028,OSTRICH 2014,4WD-A.PRO
153.647419,48.9,0,24.811,24.8,36.219,24.326,46,9,2,1.42,136.8,3,0,0,0,0,0,24.645,-80.6519,M4-028,OSTRICH 2014,4WD-A.PRO
153.647465,49.1,0,24.809,24.798,36.217,24.325,49,10,2,0.84,153.9,3,0,0,0,0,0,24.645,-80.6519,M4-028,OSTRICH 2014,4WD-A.PRO
153.647523,49.2,0,24.808,24.797,36.218,24.326,49,10,2,0.44,153.9,3,0,0,0,0,0,24.6449,-80.6519,M4-028,OSTRICH 2014,4WD-A.PRO
153.647569,49,0,24.807,24.796,36.218,24.326,48,11,2,0.44,171.4,3,0,0,0,0,0,24.6449,-80.6518,M4-028,OSTRICH 2014,4WD-A.PRO
153.647616,49.3,0,24.805,24.795,36.218,24.326,50,12,2,-0.33,188.5,3,0,0,0,0,0,24.6449,-80.6518,M4-028,OSTRICH 2014,4WD-A.PRO
153.647662,49.2,0,24.807,24.796,36.218,24.326,48,13,2,1.03,205.9,3,0,0,0,0,0,24.6449,-80.6518,M4-028,OSTRICH 2014,4WD-A.PRO
153.647708,49.1,0,24.81,24.799,36.218,24.325,47,14,2,0.05,223.9,3,0,0,0,0,0,24.6449,-80.6517,M4-028,OSTRICH 2014,4WD-A.PRO
153.647755,49.1,0,24.814,24.803,36.218,24.324,48,15,2,-0.14,241.6,3,0,0,0,0,0,24.6449,-80.6517,M4-028,OSTRICH 2014,4WD-A.PRO
153.647801,49.2,0,24.816,24.805,36.218,24.323,46,16,2,-0.53,260.1,3,0,0,0,0,0,24.6448,-80.6517,M4-028,OSTRICH 2014,4WD-A.PRO
153.647847,48.3,0,24.819,24.809,36.218,24.323,47,17,2,1.61,277.7,3,0,0,0,0,0,24.6448,-80.6516,M4-028,OSTRICH 2014,4WD-A.PRO
153.647894,48.9,0,24.83,24.819,36.221,24.321,48,17,2,0.64,277.7,3,0,0,0,0,0,24.6448,-80.6516,M4-028,OSTRICH 2014,4WD-A.PRO
153.64794,48.7,0,24.843,24.833,36.221,24.317,49,18,2,0.64,294.9,3,0,0,0,0,0,24.6448,-80.6516,M4-028,OSTRICH 2014,4WD-A.PRO
153.647986,48.9,0,24.848,24.837,36.22,24.315,48,19,2,0.83,312.3,3,0,0,0,0,0,24.6448,-80.6515,M4-028,OSTRICH 2014,4WD-A.PRO
153.648032,49.1,0,24.845,24.835,36.22,24.316,46,20,2,0.25,330.6,3,0,0,0,0,0,24.6447,-80.6515,M4-028,OSTRICH 2014,4WD-A.PRO
153.648079,49.2,0,24.845,24.834,36.22,24.316,48,21,2,-0.14,348.3,3,0,0,0,0,0,24.6447,-80.6514,M4-028,OSTRICH 2014,4WD-A.PRO
153.648125,49.1,0,24.847,24.836,36.219,24.315,49,22,2,0.05,365.6,3,0,0,0,0,0,24.6447,-80.6514,M4-028,OSTRICH 2014,4WD-A.PRO
153.648171,49.2,0,24.843,24.833,36.221,24.317,49,23,2,0.05,382.9,3,0,0,0,0,0,24.6447,-80.6514,M4-028,OSTRICH 2014,4WD-A.PRO
153.648218,48.9,0,24.842,24.831,36.222,24.318,49,23,1.7,-1.12,382.9,3,0,0,0,0,0,24.6447,-80.6513,M4-028,OSTRICH 2014,4WD-A.PRO
153.648264,49.3,0,24.84,24.83,36.221,24.318,45,24,2,-0.73,401.8,3,0,0,0,0,0,24.6447,-80.6513,M4-028,OSTRICH 2014,4WD-A.PRO
153.64831,49.1,0,24.841,24.83,36.222,24.318,47,25,2,-0.73,420,3,0,0,0,0,0,24.6446,-80.6513,M4-028,OSTRICH 2014,4WD-A.PRO
153.648356,48.7,0,24.847,24.837,36.225,24.319,55,26,2,0.25,435.3,3,0,0,0,0,0,24.6446,-80.6512,M4-028,OSTRICH 2014,4WD-A.PRO
153.648403,49.5,0,24.861,24.85,36.222,24.312,49,27,2,-0.73,452.8,3,0,0,0,0,0,24.6446,-80.6512,M4-028,OSTRICH 2014,4WD-A.PRO
153.648449,49.6,0,24.859,24.848,36.22,24.312,51,27,1.7,-0.73,452.8,3,0,0,0,0,0,24.6446,-80.6512,M4-028,OSTRICH 2014,4WD-A.PRO
153.648495,50.3,0,24.856,24.845,36.22,24.313,50,28,1.7,-2.29,470.4,3,0,0,0,0,0,24.6446,-80.6511,M4-028,OSTRICH 2014,4WD-A.PRO
153.648542,50.6,0,24.85,24.839,36.221,24.315,55,29,1.7,-2.68,486.5,3,0,0,0,0,0,24.6446,-80.6511,M4-028,OSTRICH 2014,4WD-A.PRO
153.648588,50.4,0,24.836,24.825,36.221,24.319,49,30,2,-2.88,504.6,3,0,0,0,0,0,24.6446,-80.651,M4-028,OSTRICH 2014,4WD-A.PRO
153.648634,50.8,0,24.832,24.821,36.221,24.321,49,1,2,-2.88,0,4,0,0,0,0,0,24.6446,-80.651,M4-028,OSTRICH 2014,4WD-A.PRO
153.648681,50.5,0,24.83,24.819,36.222,24.322,50,2,2,-2.68,17.7,4,0,0,0,0,0,24.6445,-80.651,M4-028,OSTRICH 2014,4WD-A.PRO
153.648727,50.1,0,24.829,24.818,36.221,24.321,52,3,2,-2.49,34.8,4,0,0,0,0,0,24.6445,-80.6509,M4-028,OSTRICH 2014,4WD-A.PRO
153.648773,50.7,0,24.839,24.828,36.222,24.32,47,3,1.7,-2.29,34.8,4,0,0,0,0,0,24.6445,-80.6509,M4-028,OSTRICH 2014,4WD-A.PRO
