time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
157.791782,-14.4,0,27.634,27.638,36.39,23.561,51,93,26.6,27.04,1507.4,0,0,0,0,0,0,24.3913,-81.6998,M4-044,OSTRICH 2014,L1S-A.PRO
157.791829,-14.6,0,27.639,27.642,36.391,23.56,50,93,26.6,27.43,1507.4,0,0,0,0,0,0,24.3912,-81.6998,M4-044,OSTRICH 2014,L1S-A.PRO
157.791875,-14.6,0,27.639,27.643,36.396,23.564,48,94,26.9,27.43,1517.8,0,0,0,0,0,0,24.3912,-81.6998,M4-044,OSTRICH 2014,L1S-A.PRO
157.792454,-14.7,0,27.661,27.665,36.377,23.543,44,104,29.8,27.48,1700.3,0,0,0,0,0,0,24.3908,-81.6996,M4-044,OSTRICH 2014,L1S-A.PRO
157.7925,-14.3,0,27.705,27.709,36.375,23.527,44,104,29.8,26.89,1700.3,0,0,0,0,0,0,24.3908,-81.6996,M4-044,OSTRICH 2014,L1S-A.PRO
157.792546,-14.5,0,27.713,27.716,36.371,23.521,45,105,30,27.1,1711.8,0,0,0,0,0,0,24.3907,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792593,-14.6,0,27.716,27.719,36.369,23.519,45,106,30.3,27.3,1723.3,0,0,0,0,0,0,24.3907,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792639,-14.4,0,27.724,27.727,36.368,23.516,46,107,4.3,-0.52,1741.7,0,0,0,0,0,0,24.3907,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792685,-14.6,0,27.731,27.735,36.368,23.513,45,108,4.3,0.27,1760.3,0,0,0,0,0,0,24.3906,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792731,-14.7,0,27.728,27.731,36.373,23.518,44,108,4.3,0.09,1760.3,0,0,0,0,0,0,24.3906,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792778,-14.5,0,27.726,27.729,36.372,23.518,48,109,4.3,-0.29,1778.1,0,0,0,0,0,0,24.3906,-81.6995,M4-044,OSTRICH 2014,L1S-A.PRO
157.792824,-14.6,0,27.728,27.731,36.373,23.517,47,110,1.7,-0.13,1796.1,0,0,0,0,0,0,24.3905,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.79287,-14.3,0,27.715,27.718,36.366,23.517,49,111,2,-0.13,1813.5,0,0,0,0,0,0,24.3905,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.792917,-14.3,0,27.699,27.702,36.367,23.523,50,111,1.7,-0.33,1813.5,0,0,0,0,0,0,24.3904,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.792963,-14.2,0,27.695,27.699,36.37,23.526,52,112,1.7,-0.71,1830,0,0,0,0,0,0,24.3904,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.793009,-14,0,27.677,27.68,36.383,23.542,52,113,1.7,-0.71,1846.6,0,0,0,0,0,0,24.3904,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.793056,-14,0,27.63,27.633,36.393,23.565,49,114,1.7,-1.1,1864.2,0,0,0,0,0,0,24.3903,-81.6994,M4-044,OSTRICH 2014,L1S-A.PRO
157.793102,-14,0,27.598,27.601,36.392,23.574,49,115,2,-1.29,1881.9,0,0,0,0,0,0,24.3903,-81.6993,M4-044,OSTRICH 2014,L1S-A.PRO
157.793148,-14,0,27.613,27.616,36.379,23.559,50,116,2,-0.9,1899.2,0,0,0,0,0,0,24.3903,-81.6993,M4-044,OSTRICH 2014,L1S-A.PRO
157.793194,-13.8,0,27.604,27.608,36.36,23.548,53,117,2,-1.49,1915.6,0,0,0,0,0,0,24.3902,-81.6993,M4-044,OSTRICH 2014,L1S-A.PRO
157.793252,-13.4,0,27.566,27.569,36.387,23.581,53,118,2,-1.68,1932.1,0,0,0,0,0,0,24.3902,-81.6993,M4-044,OSTRICH 2014,L1S-A.PRO
157.793299,-13.2,0,27.445,27.449,36.48,23.69,53,118,2,-2.06,1932.1,0,0,0,0,0,0,24.3901,-81.6993,M4-044,OSTRICH 2014,L1S-A.PRO
157.793345,-12.8,0,27.226,27.229,36.307,23.631,52,119,2,-2.65,1949.1,0,0,0,0,0,0,24.3901,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.793391,-12.3,0,27.09,27.093,36.367,23.72,53,120,2,-3.23,1966,0,0,0,0,0,0,24.39,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.793437,5.8,0,27.054,27.052,36.369,23.735,52,121,2,-37.17,1992.3,0,0,0,0,0,0,24.39,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.793484,6.2,0,27.025,27.024,36.393,23.762,53,122,2,-37.76,2018.4,0,0,0,0,0,0,24.39,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.79353,6.8,0,27.008,27.007,36.372,23.751,55,123,2,-38.93,2044.2,0,0,0,0,0,0,24.3899,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.793576,8,0,26.991,26.989,36.366,23.753,55,123,1.7,-40.88,2044.2,0,0,0,0,0,0,24.3899,-81.6992,M4-044,OSTRICH 2014,L1S-A.PRO
157.793623,9.1,0,26.981,26.979,36.368,23.757,55,124,1.7,-42.24,2070.8,0,0,0,0,0,0,24.3898,-81.6991,M4-044,OSTRICH 2014,L1S-A.PRO
157.793669,9.7,0,26.976,26.974,36.375,23.764,56,125,2,-42.82,2097.4,0,0,0,0,0,0,24.3898,-81.6991,M4-044,OSTRICH 2014,L1S-A.PRO
