time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
149.910139,0.3,0,27.295,27.295,36.186,23.518,41,90,25.7,-0.64,1709.3,0,0,0,0,0,0,25.8503,-79.3958,M4-007,OSTRICH 2014,1EM-A.PRO
149.910185,0.8,0,27.288,27.288,36.23,23.554,40,90,25.7,-1.43,1709.3,0,0,0,0,0,0,25.8504,-79.3957,M4-007,OSTRICH 2014,1EM-A.PRO
149.910232,0.7,0,27.297,27.297,36.261,23.575,41,91,26,-1.23,1729.6,0,0,0,0,0,0,25.8504,-79.3957,M4-007,OSTRICH 2014,1EM-A.PRO
149.910278,0.8,0,27.304,27.304,36.269,23.578,43,91,26,-1.43,1729.6,0,0,0,0,0,0,25.8504,-79.3957,M4-007,OSTRICH 2014,1EM-A.PRO
149.910324,1.4,0,27.316,27.316,36.275,23.579,45,92,26.3,-2.6,1748.9,0,0,0,0,0,0,25.8505,-79.3956,M4-007,OSTRICH 2014,1EM-A.PRO
149.91037,2.3,0,27.316,27.316,36.287,23.588,45,92,26.3,-4.36,1748.9,0,0,0,0,0,0,25.8505,-79.3956,M4-007,OSTRICH 2014,1EM-A.PRO
149.910417,3.4,0,27.316,27.315,36.291,23.591,46,93,26.6,-6.32,1768.9,0,0,0,0,0,0,25.8505,-79.3956,M4-007,OSTRICH 2014,1EM-A.PRO
149.910463,4.1,0,27.325,27.324,36.295,23.591,46,94,1.4,-6.46,1789,0,0,0,0,0,0,25.8505,-79.3955,M4-007,OSTRICH 2014,1EM-A.PRO
149.910509,4.4,0,27.319,27.318,36.207,23.527,45,94,1.1,-7.64,1789,0,0,0,0,0,0,25.8506,-79.3955,M4-007,OSTRICH 2014,1EM-A.PRO
149.910556,4.8,0,27.318,27.316,36.295,23.594,43,95,1.4,-7.64,1810.3,0,0,0,0,0,0,25.8506,-79.3955,M4-007,OSTRICH 2014,1EM-A.PRO
149.910602,5.4,0,27.31,27.309,36.294,23.595,45,95,1.1,-8.81,1810.3,0,0,0,0,0,0,25.8506,-79.3954,M4-007,OSTRICH 2014,1EM-A.PRO
149.910648,5.9,0,27.318,27.317,36.307,23.602,44,96,1.4,-9.59,1831.8,0,0,0,0,0,0,25.8507,-79.3954,M4-007,OSTRICH 2014,1EM-A.PRO
149.910706,6.5,0,27.326,27.325,36.31,23.602,44,97,1.4,-9.6,1853.3,0,0,0,0,0,0,25.8507,-79.3954,M4-007,OSTRICH 2014,1EM-A.PRO
149.910752,7.1,0,27.324,27.322,36.311,23.604,43,97,1.4,-9.01,1853.3,0,0,0,0,0,0,25.8507,-79.3953,M4-007,OSTRICH 2014,1EM-A.PRO
149.910799,7.3,0,27.319,27.317,36.316,23.609,44,98,1.4,-7.45,1874.3,0,0,0,0,0,0,25.8507,-79.3953,M4-007,OSTRICH 2014,1EM-A.PRO
149.910845,7.9,0,27.317,27.315,36.315,23.609,44,99,1.4,-7.06,1895.1,0,0,0,0,0,0,25.8508,-79.3952,M4-007,OSTRICH 2014,1EM-A.PRO
149.910891,8.7,0,27.322,27.32,36.316,23.609,43,99,1.4,-8.04,1895.1,0,0,0,0,0,0,25.8508,-79.3952,M4-007,OSTRICH 2014,1EM-A.PRO
149.910937,8.9,0,27.323,27.321,36.317,23.609,44,100,1.4,-7.65,1916.1,0,0,0,0,0,0,25.8508,-79.3952,M4-007,OSTRICH 2014,1EM-A.PRO
149.910984,9.4,0,27.322,27.32,36.318,23.61,45,100,1.4,-7.66,1916.1,0,0,0,0,0,0,25.8508,-79.3951,M4-007,OSTRICH 2014,1EM-A.PRO
