time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
160.261238,1.5,0,28.346,28.346,35.782,22.872,48,85,24.3,-2.88,2005.7,0,0,0,0,0,0,25.1107,-80.1887,M4-065,OSTRICH 2014,L11S-B.PRO
160.261285,2,0,28.386,28.386,36.085,23.086,51,85,24.3,-3.67,2005.7,0,0,0,0,0,0,25.1107,-80.1887,M4-065,OSTRICH 2014,L11S-B.PRO
160.261331,1.9,0,28.415,28.414,36.12,23.103,51,86,24.6,-3.48,2023.3,0,0,0,0,0,0,25.1107,-80.1886,M4-065,OSTRICH 2014,L11S-B.PRO
160.261377,1.9,0,28.411,28.411,36.112,23.098,55,86,0.6,-0.63,2023.3,0,0,0,0,0,0,25.1107,-80.1886,M4-065,OSTRICH 2014,L11S-B.PRO
160.261424,2,0,28.417,28.417,36.139,23.116,53,87,0.9,-1.02,2039.6,0,0,0,0,0,0,25.1107,-80.1885,M4-065,OSTRICH 2014,L11S-B.PRO
160.26147,2.1,0,28.422,28.422,36.112,23.094,55,88,1.1,-1.02,2055.2,0,0,0,0,0,0,25.1107,-80.1885,M4-065,OSTRICH 2014,L11S-B.PRO
160.261516,2.1,0,28.423,28.422,36.13,23.107,55,89,1.4,-0.82,2070.8,0,0,0,0,0,0,25.1107,-80.1884,M4-065,OSTRICH 2014,L11S-B.PRO
160.261563,2.7,0,28.428,28.427,36.131,23.107,55,90,1.7,-2.38,2086.8,0,0,0,0,0,0,25.1107,-80.1883,M4-065,OSTRICH 2014,L11S-B.PRO
160.261609,3.1,0,28.427,28.426,36.131,23.107,54,91,1.7,-2.96,2103.3,0,0,0,0,0,0,25.1107,-80.1883,M4-065,OSTRICH 2014,L11S-B.PRO
160.261655,3.8,0,28.431,28.43,36.153,23.122,54,91,1.7,-3.54,2103.3,0,0,0,0,0,0,25.1107,-80.1882,M4-065,OSTRICH 2014,L11S-B.PRO
