time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
160.239838,1.7,0,26.526,26.526,50,34.231,38,84,24,-3.13,2107,0,0,0,0,0,0,25.11,-80.2216,M4-064,OSTRICH 2014,L11S-A.PRO
160.239884,1.4,0,26.65,26.649,50,34.189,44,84,24,-2.55,2107,0,0,0,0,0,0,25.11,-80.2216,M4-064,OSTRICH 2014,L11S-A.PRO
160.239931,1.8,0,26.801,26.801,50,34.138,48,84,24,-3.33,2107,0,0,0,0,0,0,25.11,-80.2215,M4-064,OSTRICH 2014,L11S-A.PRO
160.240023,2,0,28.364,28.364,35.963,23.001,51,85,24.3,-3.73,2126.1,0,0,0,0,0,0,25.11,-80.2214,M4-064,OSTRICH 2014,L11S-A.PRO
160.240069,1.8,0,28.372,28.372,36.089,23.094,52,86,24.6,-3.34,2143.4,0,0,0,0,0,0,25.11,-80.2213,M4-064,OSTRICH 2014,L11S-A.PRO
160.240116,2,0,28.382,28.382,36.136,23.126,52,87,24.9,-3.74,2160.7,0,0,0,0,0,0,25.11,-80.2212,M4-064,OSTRICH 2014,L11S-A.PRO
160.240162,2.2,0,28.391,28.391,36.181,23.156,55,87,0.9,-1,2160.7,0,0,0,0,0,0,25.1101,-80.2212,M4-064,OSTRICH 2014,L11S-A.PRO
160.240208,2.6,0,28.392,28.392,36.175,23.151,53,88,1.1,-1.78,2177.2,0,0,0,0,0,0,25.1101,-80.2211,M4-064,OSTRICH 2014,L11S-A.PRO
160.240255,3,0,28.384,28.383,36.179,23.157,54,89,1.4,-3.14,2193.8,0,0,0,0,0,0,25.1101,-80.2211,M4-064,OSTRICH 2014,L11S-A.PRO
160.240301,3.2,0,28.353,28.352,36.172,23.162,54,90,1.7,-2.75,2210.2,0,0,0,0,0,0,25.1101,-80.221,M4-064,OSTRICH 2014,L11S-A.PRO
160.240347,4,0,28.331,28.331,36.18,23.176,55,91,1.7,-4.31,2226.7,0,0,0,0,0,0,25.1101,-80.221,M4-064,OSTRICH 2014,L11S-A.PRO
160.240394,4.5,0,28.274,28.273,36.201,23.211,54,91,1.7,-4.7,2226.7,0,0,0,0,0,0,25.1101,-80.2209,M4-064,OSTRICH 2014,L11S-A.PRO
160.24044,4.7,0,28.176,28.174,36.232,23.266,54,92,1.7,-5.48,2243.9,0,0,0,0,0,0,25.1101,-80.2208,M4-064,OSTRICH 2014,L11S-A.PRO
160.240486,5.4,0,28.056,28.055,36.236,23.308,54,93,1.7,-6.45,2261.3,0,0,0,0,0,0,25.1101,-80.2208,M4-064,OSTRICH 2014,L11S-A.PRO
160.240532,6,0,27.876,27.874,36.291,23.409,54,94,2,-7.04,2278.9,0,0,0,0,0,0,25.1101,-80.2207,M4-064,OSTRICH 2014,L11S-A.PRO
160.240579,6.6,0,27.681,27.679,36.29,23.472,54,95,2,-7.43,2296.6,0,0,0,0,0,0,25.1101,-80.2207,M4-064,OSTRICH 2014,L11S-A.PRO
160.240625,7.1,0,27.603,27.602,36.253,23.47,52,95,1.7,-7.63,2296.6,0,0,0,0,0,0,25.1101,-80.2206,M4-064,OSTRICH 2014,L11S-A.PRO
160.240671,7.5,0,27.516,27.515,36.227,23.478,54,96,1.7,-8.02,2314.4,0,0,0,0,0,0,25.1101,-80.2206,M4-064,OSTRICH 2014,L11S-A.PRO
160.240718,7.7,0,27.439,27.438,36.232,23.507,52,97,1.7,-7.04,2332.6,0,0,0,0,0,0,25.1101,-80.2205,M4-064,OSTRICH 2014,L11S-A.PRO
160.240764,8.4,0,27.391,27.389,36.257,23.542,53,98,2,-7.24,2350.6,0,0,0,0,0,0,25.1101,-80.2205,M4-064,OSTRICH 2014,L11S-A.PRO
160.24081,9,0,27.354,27.352,36.284,23.574,54,99,2,-8.02,2368.4,0,0,0,0,0,0,25.1101,-80.2204,M4-064,OSTRICH 2014,L11S-A.PRO
160.240856,9.5,0,27.278,27.276,36.249,23.572,53,99,1.7,-7.63,2368.4,0,0,0,0,0,0,25.1101,-80.2204,M4-064,OSTRICH 2014,L11S-A.PRO
160.240903,9.9,0,27.212,27.21,36.258,23.6,54,100,1.7,-7.44,2386.1,0,0,0,0,0,0,25.1101,-80.2203,M4-064,OSTRICH 2014,L11S-A.PRO
160.240949,10.7,0,27.192,27.19,36.27,23.616,54,101,1.7,-7.63,2403.9,0,0,0,0,0,0,25.1101,-80.2203,M4-064,OSTRICH 2014,L11S-A.PRO
160.240995,11.3,0,27.185,27.183,36.28,23.626,54,102,2,-7.83,2421.6,0,0,0,0,0,0,25.1101,-80.2203,M4-064,OSTRICH 2014,L11S-A.PRO
160.241042,12,0,27.166,27.163,36.261,23.617,54,103,2,-8.42,2439.6,0,0,0,0,0,0,25.1101,-80.2202,M4-064,OSTRICH 2014,L11S-A.PRO
160.241088,12.4,0,27.154,27.151,36.263,23.623,54,103,1.7,-8.81,2439.6,0,0,0,0,0,0,25.1101,-80.2202,M4-064,OSTRICH 2014,L11S-A.PRO
160.241134,12.9,0,27.147,27.144,36.255,23.619,54,104,1.7,-8.61,2457.6,0,0,0,0,0,0,25.1101,-80.2201,M4-064,OSTRICH 2014,L11S-A.PRO
160.241181,13.6,0,27.122,27.119,36.253,23.626,53,105,1.7,-8.61,2475.9,0,0,0,0,0,0,25.1101,-80.2201,M4-064,OSTRICH 2014,L11S-A.PRO
160.241227,13.9,0,27.085,27.082,36.265,23.646,53,106,2,-8.22,2494.1,0,0,0,0,0,0,25.1101,-80.22,M4-064,OSTRICH 2014,L11S-A.PRO
160.241273,14.3,0,27.057,27.053,36.276,23.664,54,106,1.7,-8.22,2494.1,0,0,0,0,0,0,25.1101,-80.22,M4-064,OSTRICH 2014,L11S-A.PRO
160.241319,14.4,0,27.033,27.03,36.273,23.67,52,107,1.7,-7.05,2512.4,0,0,0,0,0,0,25.1101,-80.2199,M4-064,OSTRICH 2014,L11S-A.PRO
160.241366,14.2,0,27.024,27.02,36.264,23.666,51,108,1.7,-5.49,2530.5,0,0,0,0,0,0,25.1101,-80.2199,M4-064,OSTRICH 2014,L11S-A.PRO
160.241412,14.4,0,27.021,27.018,36.254,23.659,50,109,1.7,-4.52,2548.7,0,0,0,0,0,0,25.1101,-80.2198,M4-064,OSTRICH 2014,L11S-A.PRO
160.241458,14.2,0,27.023,27.019,36.245,23.651,51,110,2,-3.34,2566.3,0,0,0,0,0,0,25.1101,-80.2198,M4-064,OSTRICH 2014,L11S-A.PRO
160.241505,14.4,0,27.025,27.022,36.24,23.647,50,111,2,-2.76,2584.1,0,0,0,0,0,0,25.1101,-80.2197,M4-064,OSTRICH 2014,L11S-A.PRO
160.241551,14.4,0,27.027,27.024,36.237,23.644,52,112,2,-1.59,2600.8,0,0,0,0,0,0,25.1101,-80.2197,M4-064,OSTRICH 2014,L11S-A.PRO
160.241597,14.3,0,27.03,27.026,36.233,23.641,51,113,2,-0.81,2617.8,0,0,0,0,0,0,25.1101,-80.2196,M4-064,OSTRICH 2014,L11S-A.PRO
160.241644,14.3,0,27.036,27.033,36.229,23.635,51,114,2.3,-0.03,2634.4,0,0,0,0,0,0,25.1101,-80.2196,M4-064,OSTRICH 2014,L11S-A.PRO
160.24169,14.4,0,27.048,27.045,36.225,23.628,51,114,2,-0.03,2634.4,0,0,0,0,0,0,25.1101,-80.2196,M4-064,OSTRICH 2014,L11S-A.PRO
160.241736,14.5,0,27.066,27.063,36.22,23.619,51,115,2,-0.61,2651.3,0,0,0,0,0,0,25.1101,-80.2195,M4-064,OSTRICH 2014,L11S-A.PRO
160.241782,14.6,0,27.075,27.072,36.219,23.615,51,116,2,-0.41,2668.1,0,0,0,0,0,0,25.1101,-80.2195,M4-064,OSTRICH 2014,L11S-A.PRO
160.241829,14.7,0,27.084,27.081,36.223,23.615,51,117,2,-1,2685.1,0,0,0,0,0,0,25.1101,-80.2194,M4-064,OSTRICH 2014,L11S-A.PRO
