time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
159.818877,16.5,0,29.013,29.009,28.579,17.251,62,351,100.4,-30.86,4553.5,0,0,0,0,0,0,24.849,-80.3802,M4-061,OSTRICH 2014,L9S-B.PRO
159.818924,17.1,0,27.813,27.809,36.469,23.565,62,352,100.7,-32.03,4575.3,0,0,0,0,0,0,24.849,-80.3802,M4-061,OSTRICH 2014,L9S-B.PRO
159.81897,17.8,0,27.804,27.8,36.467,23.566,61,353,101,-33.4,4597.7,0,0,0,0,0,0,24.849,-80.3803,M4-061,OSTRICH 2014,L9S-B.PRO
159.819016,18.3,0,27.792,27.788,36.464,23.568,61,354,101.3,-34.38,4620.5,0,0,0,0,0,0,24.849,-80.3803,M4-061,OSTRICH 2014,L9S-B.PRO
159.819062,19,0,27.782,27.778,36.47,23.576,61,355,101.6,-35.55,4643.5,0,0,0,0,0,0,24.8491,-80.3804,M4-061,OSTRICH 2014,L9S-B.PRO
159.819109,19.8,0,27.767,27.762,36.471,23.582,62,356,101.9,-37.11,4666.7,0,0,0,0,0,0,24.8491,-80.3804,M4-061,OSTRICH 2014,L9S-B.PRO
159.819155,20.1,0,27.753,27.748,36.46,23.578,61,357,102.1,-37.7,4690.4,0,0,0,0,0,0,24.8491,-80.3804,M4-061,OSTRICH 2014,L9S-B.PRO
159.819201,19.9,0,27.739,27.735,36.461,23.583,60,358,102.4,-37.31,4714.2,0,0,0,0,0,0,24.8491,-80.3805,M4-061,OSTRICH 2014,L9S-B.PRO
159.819248,19.7,0,27.734,27.73,36.463,23.586,60,360,2.6,-6.06,4743.2,0,0,0,0,0,0,24.8492,-80.3805,M4-061,OSTRICH 2014,L9S-B.PRO
159.819294,19.7,0,27.732,27.727,36.465,23.588,61,361,2.6,-4.89,4757.9,0,0,0,0,0,0,24.8492,-80.3805,M4-061,OSTRICH 2014,L9S-B.PRO
159.81934,19.4,0,27.73,27.726,36.462,23.586,62,362,2.6,-2.93,4771.6,0,0,0,0,0,0,24.8492,-80.3806,M4-061,OSTRICH 2014,L9S-B.PRO
159.819398,18.3,0,27.728,27.723,36.448,23.577,60,364,2.9,-0.01,4798.9,0,0,0,0,0,0,24.8492,-80.3806,M4-061,OSTRICH 2014,L9S-B.PRO
159.819444,17.7,0,27.727,27.723,36.447,23.576,61,365,2.9,2.33,4811.6,0,0,0,0,0,0,24.8492,-80.3807,M4-061,OSTRICH 2014,L9S-B.PRO
159.819491,17,0,27.737,27.733,36.439,23.567,61,367,3.1,5.27,4836.7,0,0,0,0,0,0,24.8493,-80.3807,M4-061,OSTRICH 2014,L9S-B.PRO
159.819537,16.5,0,27.745,27.741,36.433,23.56,61,368,3.1,6.83,4848.2,0,0,0,0,0,0,24.8493,-80.3807,M4-061,OSTRICH 2014,L9S-B.PRO
159.819583,15.8,0,27.757,27.753,36.432,23.555,61,369,3.1,7.61,4859.4,0,0,0,0,0,0,24.8493,-80.3808,M4-061,OSTRICH 2014,L9S-B.PRO
159.81963,15.1,0,27.768,27.764,36.433,23.552,61,371,3.1,8.59,4883.6,0,0,0,0,0,0,24.8493,-80.3808,M4-061,OSTRICH 2014,L9S-B.PRO
159.819676,14.7,0,27.772,27.768,36.432,23.55,61,372,3.1,9.37,4894.4,0,0,0,0,0,0,24.8493,-80.3808,M4-061,OSTRICH 2014,L9S-B.PRO
159.819722,14.1,0,27.774,27.77,36.433,23.551,62,373,3.1,9.96,4904.6,0,0,0,0,0,0,24.8494,-80.3809,M4-061,OSTRICH 2014,L9S-B.PRO
159.819769,14.1,0,27.779,27.775,36.435,23.55,62,375,3.1,8.01,4928.2,0,0,0,0,0,0,24.8494,-80.3809,M4-061,OSTRICH 2014,L9S-B.PRO
159.819815,14.3,0,27.786,27.782,36.432,23.546,62,376,3.1,6.45,4939.4,0,0,0,0,0,0,24.8494,-80.3809,M4-061,OSTRICH 2014,L9S-B.PRO
159.819861,14.2,0,27.787,27.784,36.432,23.545,61,377,2.9,5.28,4951.3,0,0,0,0,0,0,24.8494,-80.381,M4-061,OSTRICH 2014,L9S-B.PRO
159.819907,14.3,0,27.787,27.784,36.432,23.545,61,378,2.9,4.11,4963.4,0,0,0,0,0,0,24.8494,-80.381,M4-061,OSTRICH 2014,L9S-B.PRO
159.819954,14.3,0,27.785,27.781,36.434,23.547,61,379,2.9,2.94,4975.9,0,0,0,0,0,0,24.8495,-80.381,M4-061,OSTRICH 2014,L9S-B.PRO
159.82,14.3,0,27.782,27.779,36.439,23.552,61,381,2.9,1.57,5002.1,0,0,0,0,0,0,24.8495,-80.3811,M4-061,OSTRICH 2014,L9S-B.PRO
159.820046,14.5,0,27.779,27.776,36.442,23.555,61,382,2.9,0.4,5015.3,0,0,0,0,0,0,24.8495,-80.3811,M4-061,OSTRICH 2014,L9S-B.PRO
159.820093,14.3,0,27.778,27.775,36.444,23.557,61,383,2.9,-0.38,5028.7,0,0,0,0,0,0,24.8495,-80.3811,M4-061,OSTRICH 2014,L9S-B.PRO
159.820139,14.4,0,27.778,27.775,36.444,23.557,62,384,2.6,-0.57,5041.8,0,0,0,0,0,0,24.8495,-80.3812,M4-061,OSTRICH 2014,L9S-B.PRO
159.820185,14.5,0,27.778,27.774,36.446,23.559,61,385,2.6,-0.37,5055.2,0,0,0,0,0,0,24.8496,-80.3812,M4-061,OSTRICH 2014,L9S-B.PRO
159.820232,14.7,0,27.773,27.77,36.449,23.563,62,387,2.9,-0.96,5081.4,0,0,0,0,0,0,24.8496,-80.3812,M4-061,OSTRICH 2014,L9S-B.PRO
159.820278,14.8,0,27.767,27.764,36.453,23.568,61,388,2.9,-0.96,5094.9,0,0,0,0,0,0,24.8496,-80.3813,M4-061,OSTRICH 2014,L9S-B.PRO
159.820324,15.2,0,27.764,27.761,36.454,23.569,61,389,2.9,-1.74,5108.7,0,0,0,0,0,0,24.8496,-80.3813,M4-061,OSTRICH 2014,L9S-B.PRO
159.82037,15.5,0,27.76,27.757,36.457,23.573,61,390,2.6,-2.32,5122.7,0,0,0,0,0,0,24.8497,-80.3813,M4-061,OSTRICH 2014,L9S-B.PRO
159.820417,15.6,0,27.758,27.754,36.456,23.573,61,391,2.6,-2.12,5136.6,0,0,0,0,0,0,24.8497,-80.3813,M4-061,OSTRICH 2014,L9S-B.PRO
159.820463,16.2,0,27.757,27.753,36.454,23.572,60,392,2.6,-3.68,5151.2,0,0,0,0,0,0,24.8497,-80.3814,M4-061,OSTRICH 2014,L9S-B.PRO
159.820509,16.6,0,27.753,27.749,36.455,23.574,60,393,2.6,-4.27,5166,0,0,0,0,0,0,24.8497,-80.3814,M4-061,OSTRICH 2014,L9S-B.PRO
159.820556,16.6,0,27.748,27.744,36.455,23.575,59,394,2.6,-4.07,5181.1,0,0,0,0,0,0,24.8498,-80.3814,M4-061,OSTRICH 2014,L9S-B.PRO
159.820602,17.3,0,27.742,27.738,36.456,23.578,59,395,2.3,-4.85,5196.5,0,0,0,0,0,0,24.8498,-80.3814,M4-061,OSTRICH 2014,L9S-B.PRO
159.820648,17.4,0,27.727,27.723,36.455,23.583,58,396,2.3,-4.85,5212.1,0,0,0,0,0,0,24.8498,-80.3814,M4-061,OSTRICH 2014,L9S-B.PRO
159.820694,17.6,0,27.707,27.703,36.457,23.591,56,397,2.3,-4.46,5228.3,0,0,0,0,0,0,24.8498,-80.3815,M4-061,OSTRICH 2014,L9S-B.PRO
159.820741,17.6,0,27.7,27.696,36.457,23.592,56,398,2.3,-3.87,5244.4,0,0,0,0,0,0,24.8499,-80.3815,M4-061,OSTRICH 2014,L9S-B.PRO
159.820787,17.7,0,27.697,27.693,36.457,23.593,56,399,2.3,-3.87,5260.5,0,0,0,0,0,0,24.8499,-80.3815,M4-061,OSTRICH 2014,L9S-B.PRO
159.820833,17.8,0,27.696,27.692,36.454,23.591,55,400,2.3,-2.89,5276.6,0,0,0,0,0,0,24.8499,-80.3815,M4-061,OSTRICH 2014,L9S-B.PRO
159.82088,17.9,0,27.694,27.689,36.45,23.589,55,401,2.3,-2.31,5292.6,0,0,0,0,0,0,24.8499,-80.3816,M4-061,OSTRICH 2014,L9S-B.PRO
159.820926,17.7,0,27.691,27.687,36.454,23.593,55,402,2.3,-1.92,5308.5,0,0,0,0,0,0,24.85,-80.3816,M4-061,OSTRICH 2014,L9S-B.PRO
159.820972,17.9,0,27.69,27.686,36.449,23.59,54,403,2.3,-1.14,5324.5,0,0,0,0,0,0,24.85,-80.3816,M4-061,OSTRICH 2014,L9S-B.PRO
159.821019,17.9,0,27.689,27.685,36.449,23.59,54,404,2.3,-0.94,5340.4,0,0,0,0,0,0,24.85,-80.3816,M4-061,OSTRICH 2014,L9S-B.PRO
159.821065,17.8,0,27.691,27.687,36.447,23.588,54,405,2.3,-0.36,5356.2,0,0,0,0,0,0,24.8501,-80.3816,M4-061,OSTRICH 2014,L9S-B.PRO
159.821111,17.6,0,27.697,27.693,36.443,23.583,53,406,2.3,0.04,5372.2,0,0,0,0,0,0,24.8501,-80.3817,M4-061,OSTRICH 2014,L9S-B.PRO
159.821157,17.4,0,27.704,27.7,36.44,23.579,54,407,2.3,0.43,5387.8,0,0,0,0,0,0,24.8501,-80.3817,M4-061,OSTRICH 2014,L9S-B.PRO
